Hold,Topic,Why still open,Exact evidence needed,Source PDF pages
H01,Rear inlet-pump ratings,The rear plate in E7/10 is below reliable reading resolution. Front STP50 ratings cannot be transferred.,"Straight-on original-resolution rear nameplate; manufacturer pump model, curve, input W and rated A.","E7,10; compare E6"
H02,Biological chambers and diffuser,"BIO-1/BIO-2 names and aeration destination are documented; volumes, media specification, fill and diffuser hardware are not.","Chamber internal dimensions, operating depths, media bill of materials, retaining screens and aeration/diffuser drawing.","M4,14-15"
H03,UV electrical and treatment data,"Three units are visible; the leading wattage digits are wrapped/obscured. Drivers, input current and delivered UV dose are absent.",Readable full lamp/sleeve and ballast labels; matched UV wiring; rated dose/flow and UV-transmittance basis.,"E11-12; M8-9,16"
H04,LP-100 operating ratings,"Model name is visible, not a complete rating plate. Model number does not establish W, A or delivered airflow.",Aerator nameplate plus airflow-versus-pressure curve and voltage/frequency specification.,E8-9
H05,Ozone and gas treatment,"Local controls and service destination are documented; ozone g/h, gas rate, input W, internal wiring, hose trace and exhaust/residual treatment are not.",Ozone nameplate/model; gas schematic; input power; dose/control basis; vent/off-gas and residual-oxidant handling.,"E3,10; M4,7,14"
H06,Matched electrical wiring and load allocation,Seven manual branches do not map uniquely to five panel selectors. Two branches are unnamed; Skimmer/Valve hardware and Pump1/2 wire mapping are not traced.,"Manufacturer matched panel schematic, terminal schedule and load list; qualified de-energized circuit identification.","M16; E3,7,10"
H07,Culture units and makeup supply,"Two banks are illustrated, not an installed inventory. Box volumes, per-box flows, geometry/elevations and external makeup equipment are not specified.","Installed box/rack count, box operating volume, levels/elevations, branch pipe measurements, source/makeup tank and transfer details.","E2; M3,11"
H08,Waste and overflow destinations,"Functions are known, but nozzle identities, per-chamber valve allocation, final outfalls, collection capacity and solids route are not fully documented.",Labelled drain/nozzle trace; overflow and waste pipe plan; collection/disposal design; measured backwash/cup/purge volumes.,"M3-7,14-15; E2,5,10"
H09,"Current, protection, cables and earth","Package input power is not a full-current specification. PF, inrush, breaker/overload settings, cable data, residual-current devices and PE continuity are unreported.",Manufacturer rated assembly current/inrush and protection requirements; actual load readings; qualified electrical design and earthing tests.,"M3,10,15-16; E6"
H10,Pipe and filter hydraulic sizing,"Only three skid diameter-50 connections are specified. OD/ID/nominal standard, pressure class, heads, line losses, sand grade and cleaning settings are absent.","Actual pipe/union standard and dimensions; head/flow data; filter model, sand grading, operating pressure and backwash specification.","M3,6-7; E4-7,10"
H11,Two-pump coordination and protection logic,"Manual prerequisites are not proof of automatic interlocks. Exact operating levels, paired-pump mode sequence, trips and fail/restart behaviour are not supplied.","Matched operating/commissioning procedure and cause-and-effect schedule for both pumps, UV, ozone, levels, flow and electrical wetting.","M7,10-12,14-16"
H12,Backup power and external auxiliaries,"No generator, UPS, transfer equipment, runtime, essential-load schedule or external facility load schedule is included.",Owner electrical load scope and required outage endurance; qualified backup-supply design based on confirmed load/inrush data.,"M3,16; E10"
